state_abr,state,county,man_test,Import_wholecarc_ban,export_wholecarc_ban,bait_ban,import_live_cervid_ban,export_live_cervid_ban,statewide_regs,link
AL,Alabama,Autauga,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,https://www.outdooralabama.com/sites/default/files/CWD/WFF%20CWD%20Strategic%20Surveillance%20and%20Response%20Plan%20-%20Master%20Draft%202-04-2021%20Final.pdf
AL,Alabama,Baldwin,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,https://www.outdooralabama.com/cwd/cwd-zone-map
AL,Alabama,Barbour,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Bibb,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Blount,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Bullock,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Butler,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Calhoun,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Chambers,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Cherokee,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Chilton,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Choctaw,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Clarke,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Clay,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Cleburne,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Coffee,0,1,0,Licencse Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Colbert,1,1,1,1,1,1,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Conecuh,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Coosa,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Covington,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Crenshaw,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Cullman,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Dale,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Dallas,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,DeKalb,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Elmore,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Escambia,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Etowah,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
